date,City,State,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,Avg_rent
2010,Albuquerque,NM,545852,4291,42,338,2971,940,786.11,7.69,61.92,544.29,NA
2010,Arlington,TX,365438,1925,16,119,1258,532,526.77,4.38,32.56,344.24,1210.5
2010,Atlanta,GA,420003,5749,93,89,3405,2162,1368.8,22.14,21.19,810.71,1165.5
2010,Aurora,CO,325078,1449,24,181,737,507,445.74,7.38,55.68,226.71,1159
2010,Austin,TX,790390,3790,38,265,2256,1231,479.51,4.81,33.53,285.43,1297
2010,Baltimore,MD,620961,9316,223,265,5492,3336,1500.26,35.91,42.68,884.44,1193.5
2010,Boston,MA,617594,5819,73,256,3564,1926,942.2,11.82,41.45,577.08,1777
2010,Buffalo,NY,261310,3599,55,157,1921,1466,1377.29,21.05,60.08,735.14,900
2010,Charlotte,NC,779541,4891,61,239,2796,1795,627.42,7.83,30.66,358.67,1023
2010,Chicago,IL,2695598,29774,432,1372,13757,14213,1104.54,16.03,50.9,510.35,1559
2010,Cincinnati,OH,296943,3615,68,236,1194,2117,1217.41,22.9,79.48,402.1,795.5
2010,Cleveland,OH,396815,5529,81,344,1923,3181,1393.34,20.41,86.69,484.61,822.5
2010,Columbus,OH,787033,5472,95,574,1434,3369,695.27,12.07,72.93,182.2,933
2010,Dallas,TX,1197816,9161,148,505,4021,4487,764.81,12.36,42.16,335.69,1124.5
2010,Denver,CO,600158,3387,28,371,2045,943,564.35,4.67,61.82,340.74,1315
2010,Detroit,MI,713777,16973,310,403,10721,5539,2377.91,43.43,56.46,1502.01,845.5
2010,El Paso,TX,649121,2861,5,179,2198,479,440.75,0.77,27.58,338.61,1084
2010,Fort Worth,TX,741206,4301,63,325,2583,1330,580.27,8.5,43.85,348.49,1156
2010,Fresno,CA,494665,3034,45,70,1898,1021,613.34,9.1,14.15,383.69,1254.5
2010,Honolulu,HI,953297,2548,19,218,1420,891,267.28,1.99,22.87,148.96,2184.5
2010,Houston,TX,2099451,22491,269,712,12061,9449,1071.28,12.81,33.91,574.48,1198.5
2010,Indianapolis,IN,831388,9646,92,461,5726,3367,1160.23,11.07,55.45,688.73,998
2010,Jacksonville,FL,823209,5469,80,316,3380,1693,664.35,9.72,38.39,410.59,1011
2010,Kansas City,MO,459787,5643,102,241,3629,1671,1227.31,22.18,52.42,789.28,857.5
2010,Las Vegas,NV,1446280,12648,107,652,7886,4003,874.52,7.4,45.08,545.26,1185.5
2010,Long Beach,CA,462257,2720,32,134,1352,1202,588.42,6.92,28.99,292.48,1973.5
2010,Los Angeles,CA,3792621,21484,293,923,9344,10924,566.47,7.73,24.34,246.37,2184
2010,Louisville,KY,660582,3734,52,229,1850,1603,565.26,7.87,34.67,280.06,835.5
2010,Memphis,TN,646889,10401,89,433,6642,3237,1607.85,13.76,66.94,1026.76,858.5
2010,Mesa,AZ,439041,1790,15,124,1140,511,407.71,3.42,28.24,259.66,1106
2010,Miami,FL,399457,4879,68,46,2909,1856,1221.41,17.02,11.52,728.24,1619.5
2010,Milwaukee,WI,594833,6336,95,196,3102,2943,1065.17,15.97,32.95,521.49,NA
2010,Minneapolis,MN,382578,4064,37,438,1993,1596,1062.27,9.67,114.49,520.94,1294
2010,Nashville,TN,605009,6802,55,332,4613,1802,1124.28,9.09,54.88,762.47,1160.5
2010,New Orleans,LA,343829,2593,175,144,1321,953,754.15,50.9,41.88,384.2,NA
2010,Newark,NJ,277140,2885,90,79,1112,1604,1040.99,32.47,28.51,401.24,1472.5
2010,Oakland,CA,390724,6267,90,318,2942,2917,1603.95,23.03,81.39,752.96,1877.5
2010,Oklahoma City,OK,579999,5304,54,340,3798,1112,914.48,9.31,58.62,654.83,989.5
2010,Omaha,NE,408958,2274,34,205,1312,723,556.05,8.31,50.13,320.82,1174
2010,Orlando,FL,238300,2574,18,113,1771,672,1080.15,7.55,47.42,743.18,1066.5
2010,Philadelphia,PA,1526006,18535,306,945,8921,8363,1214.61,20.05,61.93,584.6,1095.5
2010,Phoenix,AZ,1445632,8001,116,522,4113,3250,553.46,8.02,36.11,284.51,1083.5
2010,Pittsburgh,PA,307630,2810,55,66,1499,1190,913.43,17.88,21.45,487.27,1028.5
2010,Portland,OR,583776,3051,22,230,1794,1005,522.63,3.77,39.4,307.31,1283
2010,Raleigh,NC,403892,1740,14,99,984,643,430.81,3.47,24.51,243.63,1191.5
2010,Sacramento,CA,466488,4112,33,165,2423,1491,881.48,7.07,35.37,519.41,1293.5
2010,Salt Lake City,UT,186440,1294,8,147,780,359,694.06,4.29,78.85,418.37,NA
2010,San Antonio,TX,1327407,8434,79,467,5528,2360,635.37,5.95,35.18,416.45,1050
2010,San Diego,CA,1307402,5616,29,300,3651,1636,429.55,2.22,22.95,279.26,2064.5
2010,San Francisco,CA,805235,5747,48,133,2386,3180,713.7,5.96,16.52,296.31,3197.5
2010,San Jose,CA,945942,3215,20,253,1966,976,339.87,2.11,26.75,207.84,2363
2010,Seattle,WA,608660,3515,19,96,1971,1429,577.5,3.12,15.77,323.83,1743
2010,Tampa,FL,335709,2170,27,47,1412,684,646.39,8.04,14,420.6,1093.5
2010,Tucson,AZ,520116,3331,51,158,2034,1088,640.43,9.81,30.38,391.07,985.5
2010,Tulsa,OK,391906,4304,54,252,2617,1381,1098.22,13.78,64.3,667.76,896
2010,Virginia Beach,VA,437994,831,14,53,335,429,189.73,3.2,12.1,76.49,1480.5
2010,Washington,DC,601723,7468,132,184,3238,3914,1241.1,21.94,30.58,538.12,2188.5
2010,Wichita,KS,382368,3038,16,251,2290,481,794.52,4.18,65.64,598.9,793
2011,Albuquerque,NM,551961,4210,38,264,2910,998,762.74,6.88,47.83,527.21,NA
2011,Arlington,TX,373128,1874,22,136,1176,540,502.24,5.9,36.45,315.17,1213.5
2011,Atlanta,GA,425533,6097,88,148,3518,2343,1432.79,20.68,34.78,826.73,1186.5
2011,Aurora,CO,330740,1460,12,187,754,507,441.43,3.63,56.54,227.97,1249.416667
2011,Austin,TX,807022,3470,27,211,2126,1106,429.98,3.35,26.15,263.44,1358.083333
2011,Baltimore,MD,626848,8886,197,341,4891,3457,1417.57,31.43,54.4,780.25,1215.666667
2011,Boston,MA,621359,5252,63,271,3014,1904,845.24,10.14,43.61,485.07,1897.333333
2011,Buffalo,NY,262484,3250,36,121,1634,1459,1238.17,13.72,46.1,622.51,846.9166667
2011,Charlotte,NC,789478,4787,56,218,2901,1612,606.35,7.09,27.61,367.46,1053.75
2011,Chicago,IL,2703713,28273,431,1459,12408,13975,1045.71,15.94,53.96,458.92,1504.333333
2011,Cincinnati,OH,297160,3076,61,190,1050,1775,1035.13,20.53,63.94,353.34,895.6666667
2011,Cleveland,OH,397106,5431,74,356,1844,3157,1367.64,18.63,89.65,464.36,770.75
2011,Columbus,OH,787609,5228,87,594,1296,3251,663.78,11.05,75.42,164.55,951.5
2011,Dallas,TX,1223021,8330,133,428,3703,4066,681.1,10.87,35,302.77,1129.75
2011,Denver,CO,610612,3718,37,396,2142,1143,608.9,6.06,64.85,350.8,1352.916667
2011,Detroit,MI,713239,15254,344,426,9508,4976,2138.69,48.23,59.73,1333.07,799.3333333
2011,El Paso,TX,662780,2858,16,217,2161,464,431.21,2.41,32.74,326.05,1059.333333
2011,Fort Worth,TX,756803,4579,51,354,2907,1267,605.05,6.74,46.78,384.12,1162.666667
2011,Fresno,CA,500480,2915,35,51,1809,1020,582.44,6.99,10.19,361.45,1184.083333
2011,Honolulu,HI,963465,2370,14,203,1332,821,245.99,1.45,21.07,138.25,2101.083333
2011,Houston,TX,2143628,20892,198,771,11869,8054,974.61,9.24,35.97,553.69,1195.5
2011,Indianapolis,IN,833024,9170,96,435,5267,3372,1100.81,11.52,52.22,632.27,975.3333333
2011,Jacksonville,FL,834429,5182,71,350,3183,1578,621.02,8.51,41.94,381.46,1041.083333
2011,Kansas City,MO,461458,5555,108,272,3504,1671,1203.79,23.4,58.94,759.33,912.75
2011,Las Vegas,NV,1458474,10813,82,651,6587,3493,741.39,5.62,44.64,451.64,1163.833333
2011,Long Beach,CA,467691,2857,25,112,1400,1320,610.87,5.35,23.95,299.34,1942.25
2011,Los Angeles,CA,3837207,20045,297,828,8843,10077,522.39,7.74,21.58,230.45,2185.75
2011,Louisville,KY,665152,4086,48,227,2168,1643,614.3,7.22,34.13,325.94,842.9166667
2011,Memphis,TN,652725,10338,117,406,6732,3083,1583.82,17.92,62.2,1031.37,851
2011,Mesa,AZ,445256,1837,17,131,1192,497,412.57,3.82,29.42,267.71,1091.5
2011,Miami,FL,404901,4849,68,96,2683,2002,1197.58,16.79,23.71,662.63,1642.25
2011,Milwaukee,WI,597426,6637,86,205,3255,3091,1110.93,14.4,34.31,544.84,NA
2011,Minneapolis,MN,385531,3722,32,386,1715,1589,965.42,8.3,100.12,444.84,1311.583333
2011,Nashville,TN,612789,7253,50,387,4927,1889,1183.6,8.16,63.15,804.03,1155.666667
2011,New Orleans,LA,346974,2748,200,163,1326,1059,791.99,57.64,46.98,382.16,NA
2011,Newark,NJ,278064,3243,94,58,1114,1977,1166.28,33.81,20.86,400.63,1486.083333
2011,Oakland,CA,395317,6652,104,202,2981,3365,1682.7,26.31,51.1,754.08,1720.25
2011,Oklahoma City,OK,586208,5108,58,277,3541,1232,871.36,9.89,47.25,604.05,975
2011,Omaha,NE,412608,2309,43,220,1350,696,559.61,10.42,53.32,327.19,1179.166667
2011,Orlando,FL,241548,2591,29,119,1746,697,1072.66,12.01,49.27,722.84,1041.75
2011,Philadelphia,PA,1530873,18268,324,833,8865,8246,1193.31,21.16,54.41,579.08,1087.083333
2011,Phoenix,AZ,1466097,8089,116,559,4090,3324,551.74,7.91,38.13,278.97,1053.916667
2011,Pittsburgh,PA,308609,2476,44,67,1239,1126,802.31,14.26,21.71,401.48,874.25
2011,Portland,OR,589991,3037,20,258,1842,917,514.75,3.39,43.73,312.21,1299.75
2011,Raleigh,NC,409014,1724,17,127,900,680,421.5,4.16,31.05,220.04,1194
2011,Sacramento,CA,471972,3354,36,134,2022,1162,710.64,7.63,28.39,428.42,1261.916667
2011,Salt Lake City,UT,190038,1230,7,128,753,342,647.24,3.68,67.35,396.24,NA
2011,San Antonio,TX,1355339,7038,89,492,4672,1785,519.28,6.57,36.3,344.71,1020.75
2011,San Diego,CA,1316919,5104,38,293,3317,1456,387.57,2.89,22.25,251.88,2016.833333
