"","salesprice","LotArea","YearBuilt","YearRemodAdd","TotalSF","FullBaths","HalfBaths","TotRmsAbvGrd","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","BldgType_2fmCon","BldgType_Duplex","BldgType_Twnhs","BldgType_TwnhsE","SaleType_Con","SaleType_ConLD","SaleType_ConLI","SaleType_ConLw","SaleType_CWD","SaleType_New","SaleType_Oth","SaleType_WD"
"1",208500,8450,2003,2003,2566,3,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2",181500,9600,1976,1976,2524,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",223500,11250,2001,2002,2706,3,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"4",140000,9550,1915,1970,2473,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",250000,14260,2000,2000,3343,3,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",143000,14115,1993,1995,2158,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"7",307000,10084,2004,2005,3380,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"8",200000,10382,1973,1973,3197,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",129900,6120,1931,1950,2726,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"10",118000,7420,1939,1950,2068,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"11",129500,11200,1965,1965,2080,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"12",345000,11924,2005,2006,3499,4,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"13",144000,12968,1962,1962,1824,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"14",279500,10652,2006,2007,2988,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"15",157000,10920,1960,1960,2506,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",132000,6120,1929,2001,1686,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",149000,11241,1970,1970,2008,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",90000,10791,1967,1967,1296,2,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"19",159000,13695,2004,2004,2228,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"20",139000,7560,1958,1965,2368,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21",325300,14215,2005,2006,3534,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"22",139400,7449,1930,1950,1745,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"23",230000,9742,2002,2002,3572,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"24",129900,4224,1976,1976,2100,2,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"25",154000,8246,1968,2001,2120,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26",256300,14230,2007,2007,3166,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",134800,7200,1951,2000,1800,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28",306000,11478,2007,2008,3408,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"29",207500,16321,1957,1997,3084,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30",68500,6324,1927,1950,1040,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"31",40000,8500,1920,1950,1966,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"32",149350,8544,1966,2006,2456,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"33",179900,11049,2007,2007,2468,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34",165500,10552,1959,1959,3098,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"35",277500,7313,2005,2005,3122,3,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"36",309000,13418,2004,2005,3569,3,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"37",145000,10859,1994,1995,2194,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38",153000,8532,1954,1990,2594,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"39",109000,7922,1953,2007,2114,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"40",82000,6040,1955,1955,1152,2,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"41",160000,8658,1965,1965,2412,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"42",170000,16905,1959,1959,2678,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"43",144000,9180,1983,1983,1724,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44",130250,9200,1975,1980,1876,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"45",141000,7945,1959,1959,2300,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"46",319900,7658,2005,2005,3504,3,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"47",239686,12822,2003,2003,3583,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",249700,11096,2006,2006,3312,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"49",113000,4456,1920,2008,2188,2,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"50",127000,7742,1966,1966,1910,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"51",177000,13869,1997,1997,2264,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"52",114500,6240,1934,1950,1992,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"53",110000,8472,1963,1963,1632,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"54",385000,50271,1981,1987,3684,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"55",130000,7134,1955,1955,1744,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"56",180500,10175,1964,1964,2850,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"57",172500,2645,1999,2000,2709,3,1,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"58",196500,11645,2004,2004,2580,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"59",438780,13682,2006,2006,4355,3,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"60",124900,7200,1972,1972,1560,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"61",158000,13072,2004,2004,2316,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
