"","LotArea","YearBuilt","YearRemodAdd","TotalSF","FullBaths","HalfBaths","TotRmsAbvGrd","SaleType","LotConfig","BldgType","SalePrice"
"1","8450","2003","2003","2566","3","1","8","WD","Inside","1Fam","208500"
"2","9600","1976","1976","2524","2","1","6","WD","FR2","1Fam","181500"
"3","11250","2001","2002","2706","3","1","6","WD","Inside","1Fam","223500"
"4","9550","1915","1970","2473","2","0","7","WD","Corner","1Fam","140000"
"5","14260","2000","2000","3343","3","1","9","WD","FR2","1Fam","250000"
"6","14115","1993","1995","2158","2","1","5","WD","Inside","1Fam","143000"
"7","10084","2004","2005","3380","3","0","7","WD","Inside","1Fam","307000"
"8","10382","1973","1973","3197","3","1","7","WD","Corner","1Fam","200000"
"9","6120","1931","1950","2726","2","0","8","WD","Inside","1Fam","129900"
"10","7420","1939","1950","2068","2","0","5","WD","Corner","2fmCon","118000"
"11","11200","1965","1965","2080","2","0","5","WD","Inside","1Fam","129500"
"12","11924","2005","2006","3499","4","0","11","New","Inside","1Fam","345000"
"13","12968","1962","1962","1824","2","0","4","WD","Inside","1Fam","144000"
"14","10652","2006","2007","2988","2","0","7","New","Inside","1Fam","279500"
"15","10920","1960","1960","2506","2","1","5","WD","Corner","1Fam","157000"
"16","6120","1929","2001","1686","1","0","5","WD","Corner","1Fam","132000"
"17","11241","1970","1970","2008","2","0","5","WD","CulDSac","1Fam","149000"
"18","10791","1967","1967","1296","2","0","6","WD","Inside","Duplex","90000"
"19","13695","2004","2004","2228","2","1","6","WD","Inside","1Fam","159000"
"20","7560","1958","1965","2368","1","0","6","COD","Inside","1Fam","139000"
"21","14215","2005","2006","3534","3","1","9","New","Corner","1Fam","325300"
"22","7449","1930","1950","1745","1","0","6","WD","Inside","1Fam","139400"
"23","9742","2002","2002","3572","2","0","7","WD","Inside","1Fam","230000"
"24","4224","1976","1976","2100","2","0","6","WD","Inside","TwnhsE","129900"
"25","8246","1968","2001","2120","2","0","6","WD","Inside","1Fam","154000"
"26","14230","2007","2007","3166","2","0","7","WD","Corner","1Fam","256300"
"27","7200","1951","2000","1800","1","1","5","WD","Corner","1Fam","134800"
"28","11478","2007","2008","3408","3","0","7","WD","Inside","1Fam","306000"
"29","16321","1957","1997","3084","2","0","6","WD","CulDSac","1Fam","207500"
"30","6324","1927","1950","1040","1","0","4","WD","Inside","1Fam","68500"
"31","8500","1920","1950","1966","1","0","6","WD","Inside","1Fam","40000"
"32","8544","1966","2006","2456","1","1","6","WD","CulDSac","1Fam","149350"
"33","11049","2007","2007","2468","2","0","7","WD","Corner","1Fam","179900"
"34","10552","1959","1959","3098","1","2","6","WD","Inside","1Fam","165500"
"35","7313","2005","2005","3122","3","0","6","WD","Inside","TwnhsE","277500"
"36","13418","2004","2005","3569","3","1","9","WD","Inside","1Fam","309000"
"37","10859","1994","1995","2194","1","1","6","WD","Corner","1Fam","145000"
"38","8532","1954","1990","2594","1","1","5","WD","Inside","1Fam","153000"
"39","7922","1953","2007","2114","2","0","5","WD","Inside","1Fam","109000"
"40","6040","1955","1955","1152","2","0","6","WD","Inside","Duplex","82000"
"41","8658","1965","1965","2412","2","0","6","WD","Inside","1Fam","160000"
"42","16905","1959","1959","2678","1","2","5","WD","Inside","1Fam","170000"
"43","9180","1983","1983","1724","2","0","5","WD","CulDSac","1Fam","144000"
"44","9200","1975","1980","1876","2","0","5","WD","CulDSac","1Fam","130250"
"45","7945","1959","1959","2300","2","0","6","WD","Inside","1Fam","141000"
"46","7658","2005","2005","3504","3","0","6","WD","Inside","TwnhsE","319900"
"47","12822","2003","2003","3583","2","1","6","WD","CulDSac","1Fam","239686"
"48","11096","2006","2006","3312","2","0","7","WD","Inside","1Fam","249700"
"49","4456","1920","2008","2188","2","0","8","New","Inside","2fmCon","113000"
"50","7742","1966","1966","1910","2","0","6","WD","Inside","1Fam","127000"
"51","13869","1997","1997","2264","2","1","6","WD","Corner","1Fam","177000"
"52","6240","1934","1950","1992","1","0","6","WD","Inside","1Fam","114500"
"53","8472","1963","1963","1632","2","0","5","WD","Corner","Duplex","110000"
"54","50271","1981","1987","3684","2","1","5","WD","Inside","1Fam","385000"
"55","7134","1955","1955","1744","1","0","6","WD","Inside","1Fam","130000"
"56","10175","1964","1964","2850","2","0","7","WD","Inside","1Fam","180500"
"57","2645","1999","2000","2709","3","1","7","WD","Inside","Twnhs","172500"
"58","11645","2004","2004","2580","2","1","7","WD","Corner","1Fam","196500"
"59","13682","2006","2006","4355","3","1","10","New","CulDSac","1Fam","438780"
"60","7200","1972","1972","1560","1","0","4","WD","Inside","1Fam","124900"
"61","13072","2004","2004","2316","2","1","5","New","Inside","1Fam","158000"
"62","7200","1920","1996","1641","1","0","6","WD","Inside","1Fam","101000"
"63","6442","2006","2006","2740","2","0","6","WD","Inside","TwnhsE","202500"
"64","10300","1921","1950","2286","2","0","9","WD","Inside","1Fam","140000"
"65","9375","1997","1998","3091","3","1","8","WD","Inside","1Fam","219500"
"66","9591","2004","2005","3616","2","1","9","WD","Inside","1Fam","317000"
"67","19900","1970","1989","4154","3","0","7","WD","Inside","1Fam","180000"
"68","10665","2003","2003","2932","3","0","7","WD","Inside","1Fam","226000"
"69","4608","1945","1950","1494","1","0","4","WD","Corner","1Fam","80000"
"70","15593","1953","1953","3591","2","0","7","WD","Corner","1Fam","225000"
"71","13651","1973","1973","4446","3","0","8","WD","Inside","1Fam","244000"
"72","7599","1982","2006","1690","2","0","4","WD","Corner","1Fam","129500"
"73","10141","1998","1998","2550","2","1","7","WD","Corner","1Fam","185000"
"74","10200","1954","2003","2172","2","0","6","WD","Inside","1Fam","144900"
"75","5790","1915","1950","2445","2","0","8","WD","Corner","1Fam","107400"
"76","1596","1973","1973","1450","2","0","5","WD","Inside","Twnhs","91000"
"77","8475","1956","1956","1904","1","0","4","WD","Inside","1Fam","135750"
"78","8635","1948","2001","1957","2","0","6","WD","Inside","1Fam","127000"
"79","10778","1968","1968","3536","2","0","8","WD","Inside","Duplex","136500"
"80","10440","1910","1981","1670","1","1","5","WD","Corner","1Fam","110000"
"81","13000","1968","1968","3038","2","1","8","WD","Corner","1Fam","193500"
"82","4500","1998","1998","2574","3","0","5","WD","FR2","TwnhsE","153500"
"83","10206","2007","2007","3126","2","0","6","WD","Inside","1Fam","245000"
"84","8892","1960","1960","2130","1","1","6","COD","Inside","1Fam","126500"
"85","8530","1995","1996","1858","2","1","7","WD","Inside","1Fam","168500"
"86","16059","1991","1992","3705","2","1","9","WD","Corner","1Fam","260000"
"87","11911","2005","2005","2244","2","1","6","WD","Inside","1Fam","174000"
"88","3951","2009","2009","1836","2","1","4","New","Corner","TwnhsE","164500"
"89","8470","1915","1982","2539","1","0","6","ConLD","Corner","1Fam","85000"
"90","8070","1994","1995","1980","2","0","5","WD","Inside","1Fam","123600"
"91","7200","1950","1950","1040","1","0","4","WD","Inside","1Fam","109900"
"92","8500","1961","1961","2470","1","0","6","WD","Inside","1Fam","98600"
"93","13360","1921","2006","1840","2","0","5","WD","Inside","1Fam","163500"
"94","7200","1910","1998","3505","2","1","9","WD","Corner","2fmCon","133900"
"95","9337","1997","1997","2610","3","1","7","WD","Inside","1Fam","204750"
"96","9765","1993","1993","2150","2","1","6","WD","Corner","1Fam","185000"
"97","10264","1999","1999","3176","2","0","6","WD","Inside","1Fam","214000"
"98","10921","1965","1965","1920","2","0","6","WD","Inside","1Fam","94750"
"99","10625","1920","1950","1293","1","0","5","COD","Corner","1Fam","83000"
"100","9320","1959","1959","2175","2","1","6","WD","Inside","1Fam","128950"
"101","10603","1977","2001","3220","3","0","6","WD","Inside","1Fam","205000"
"102","9206","1985","1985","2473","2","1","7","WD","Inside","1Fam","178000"
"103","7018","1979","1979","1535","2","0","8","WD","Inside","Duplex","118964"
"104","10402","2009","2009","2452","2","0","6","WD","Corner","1Fam","198900"
"105","7758","1931","1950","2858","1","1","7","WD","Corner","1Fam","169500"
"106","9375","2003","2004","3045","2","1","9","WD","Inside","1Fam","250000"
"107","10800","1885","1995","1688","1","0","6","WD","Inside","1Fam","100000"
"108","6000","1948","1950","1578","1","0","5","WD","Inside","1Fam","115000"
"109","8500","1919","2005","2310","2","0","7","WD","Corner","1Fam","115000"
"110","11751","1977","1977","3688","2","0","7","COD","Inside","1Fam","190000"
"111","9525","1954","1972","2849","2","0","7","WD","Inside","1Fam","136900"
"112","7750","2000","2000","1814","2","1","7","WD","Inside","1Fam","180000"
"113","9965","2007","2007","3960","3","1","10","New","Inside","1Fam","383970"
"114","21000","1953","1953","4068","3","0","7","COD","Corner","1Fam","217000"
"115","7259","1945","2002","3348","3","1","9","WD","Inside","1Fam","259500"
"116","3230","1999","1999","2187","2","1","5","WD","Corner","TwnhsE","176000"
"117","11616","1962","1962","2184","1","1","6","WD","Inside","1Fam","139000"
"118","8536","2006","2007","2250","1","1","5","New","Corner","1Fam","155000"
"119","12376","1990","1990","4895","4","0","11","WD","Corner","1Fam","320000"
"120","8461","2005","2006","2184","2","1","8","New","Inside","1Fam","163990"
"121","21453","1969","1969","1926","2","0","4","WD","CulDSac","1Fam","180000"
"122","6060","1939","1950","1855","1","0","4","WD","Inside","1Fam","100000"
"123","9464","1958","1958","2160","1","0","5","WD","Corner","1Fam","136000"
"124","7892","1993","1993","2398","2","0","5","WD","Inside","TwnhsE","153900"
"125","17043","1979","1998","2948","2","0","7","WD","CulDSac","1Fam","181000"
"126","6780","1935","1982","1274","2","0","5","WD","Inside","2fmCon","84500"
"127","4928","1976","1976","2036","2","0","5","WD","Inside","TwnhsE","128000"
"128","4388","1930","1950","1512","1","0","5","WD","Inside","1Fam","87000"
"129","7590","1966","1966","2008","1","1","6","WD","Inside","1Fam","155000"
"130","8973","1958","1991","2061","1","2","6","WD","Inside","1Fam","150000"
"131","14200","1966","1966","3081","2","1","8","WD","Corner","1Fam","226000"
"132","12224","2000","2000","3046","3","1","7","WD","Corner","1Fam","244000"
"133","7388","1959","2002","2390","2","0","7","WD","Corner","1Fam","150750"
"134","6853","2001","2002","2563","3","0","6","WD","Inside","1Fam","220000"
